passage_id,node_id,numChildren,label,edge_id,terminal,parent_id,parent_type,parent_edge_id,refined_type,text,text_reduced,text_reduced1
40,1.15,1,D,1.10->1.15,undeniable,1.1,FN,1.1->1.10,description,[A this] [F was] [S [E an] ... [C fact] ] [D undeniable],[A][F][S][D],ASD
40,1.35,1,D,1.33->1.35,can,1.33,FN,1.1->1.33,mood,[A you] [D can] [P understand] [A [E the] [E worldwide] [C excitement] [E [A* excitement] [P caused] [A [A IMPLICIT] [R by] [P [E this] ... [C apparition] ] [D unearthly] ] ] ],[A][D][P][A],ADPA
40,1.48,1,D,1.43->1.48,unearthly,1.43,FN,1.41->1.43,description,[A IMPLICIT] [R by] [P [E this] ... [C apparition] ] [D unearthly],[A][R][P][D],APD
40,1.68,2,D,1.64->1.68,had to,1.64,FN,1.1->1.64,mood,[A [E that] [C charge] ] [D had to] [F be] [P dropped] [U .],[A][D][F][P][U,ADP
41,1.46,2,D,1.44->1.46,[R at] [C first],1.44,FN,1.1->1.44,aspectual,[A Captain Baker] [D [R at] [C first] ] [P thought] [A [A he] [F was] [S [R in] [E the] [C presence] ] [A [R of] [E an] [E unknown] [C reef] ] ],[A][D][P][A],ADPA
41,1.115,1,D,1.111->1.115,intermittent,1.111,FN,1.105->1.111,description,[R to] [P [E the] ... [C eruptions] ] [D intermittent] ... [A [R of] [E a] [C geyser] ],[R][P][D][A],PDA
41,1.129,3,D,1.122->1.129,[C [E fair] ... [C* dealings] ] [N and] [C honest],1.122,FN,1.1->1.122,description,"[A [E [E the] [C Governor] ] [C Higginson] ] [F had] [D [C [E fair] ... [C* dealings] ] [N and] [C honest] ] [P dealings] [A [R with] [E some] [E aquatic] [C mammal] [U ,] [E [A IMPLICIT] [A* mammal] [T [E until] [C then] ] [P unknown] ] [U ,] [E [A* mammal] [R that] [D could] [P spurt] [A [R from] [E its] [C blowholes] ] [A [C waterspouts] [E [A IMPLICIT] [A* waterspouts] [P mixed] [A [R with] [C [C air] [N and] [C steam] [U .] ] ] ] ] ] ]",[A][F][D][P][A],ADPA
41,1.15,1,D,1.148->1.150,could,1.148,FN,1.135->1.148,mood,[A* mammal] [R that] [D could] [P spurt] [A [R from] [E its] [C blowholes] ] [A [C waterspouts] [E [A IMPLICIT] [A* waterspouts] [P mixed] [A [R with] [C [C air] [N and] [C steam] [U .] ] ] ] ],[A*][R][D][P][A][A],A*DPAA
42,1.7,1,D,1.2->1.7,likewise,1.2,FN,1.1->1.2,description,"[A [E Similar] [C events] ] [F were] [D likewise] [P observed] [A [R in] [E Pacific] [C seas] ] [U ,] [T [R on] [C July 23] [E [R of] [E the] [E same] [C year] ] ] [U ,] [A [R by] [E the] [C Christopher Columbus] [E [R from] [E the] [C West India ... Pacific Steam Navigation Co] [U &] ] ]",[A][F][D][P][A][U][T][U][A],ADPAA
42,1.4,1,D,1.35->1.40,could,1.35,FN,1.1->1.35,mood,[A [E this] [E extraordinary] [C cetacean] ] [D could] [P transfer] [A itself] [A [R from] [C [E one] [C locality] ] [R to] [C [C* locality] [E another] ] ] [D [R with] [E startling] [C swiftness] ],[A][D][P][A][A][D],ADPAAD
42,1.51,3,D,1.35->1.51,[R with] [E startling] [C swiftness],1.35,FN,1.1->1.35,description,[A [E this] [E extraordinary] [C cetacean] ] [D could] [P transfer] [A itself] [A [R from] [C [E one] [C locality] ] [R to] [C [C* locality] [E another] ] ] [D [R with] [E startling] [C swiftness] ],[A][D][P][A][A][D],ADPAAD
43,1.54,1,D,1.2->1.54,respectively,1.2,FN,1.1->1.2,description,"[T [E Fifteen] [C days] [E later] ] [A [R and] [E 2,000] [C leagues] [E farther] ] [U ,] [A [C [E the] [C Helvetia] [E [R from] [E the] [C Compagnie Nationale] ] ] [N and] [C [E the] [C Shannon] [E [R from] [E the] [E Royal Mail] [C line] ] ] ] ... [D respectively] [P signaled] [A each other] [A [R that] [A [E the] [C monster] ] [F had] [F been] [P sighted] [A [C [R in] [E latitude] [C 42 15 ... north] [U °] ] [U '] [N and] [C [R* in] [E longitude] [C 60 35 ... west] [U °] ... [U '] [E [R of] [E the] [C meridian] [R of] [E Greenwich] ] ] ] ]",[T][A][U][A][D][P][A][A],AADPAA
43,1.94,1,D,1.85->1.94,able,1.85,FN,1.1->1.85,description,"[A [R From] [E their] [E simultaneous] [C observations] ] [U ,] [A they] [F were] [D able] [F to] [P estimate] [A [E the] [E mammal] [F 's] [E minimum] [C length] ] [A [R at] [E [C more] [R than] ] [E 350] [E English] [C feet] ]",[A][U][A][F][D][F][P][A][A],AADPAA
44,1.3,3,D,1.2->1.3,[C One] [R after] [C another],1.2,FN,1.1->1.2,description,"[D [C One] [R after] [C another] ] [U ,] [A [E [C reports] ... [E [A* reports] [R that] [F would] [D profoundly] [P affect] [A [E public] [C opinion] ] ] ] [U :] [C [C [A [E new] [C observations] ] [P taken] [A [R by] [E [E the] [E transatlantic] [C liner] ] [C Pereire] ] ] [U ,] [C [A [E the] [E [E Inman] [C line] ] [R 's] [C Etna] ] [P running afoul] [A [R of] [E the] [C monster] ] ] [U ,] [C [A [E an] [E official] [C report] ] [P drawn up] [A [R by] [C officers] [R on] [E [E [E the] [E French] [C frigate] ] [C Normandy] ] ] ] [U ,] [C [A [D dead ... earnest] [U -] ... [P reckonings] ... [A* staff] ] [P obtained] [A [R by] [E the] [E general] [C staff] [R of] [E Commodore Fitz ... James] [U -] ] [A [R aboard] [E the] [C Lord Clyde] ] ] ] ] [P arrived]",[D][U][A][P],DAP
44,1.15,1,D,1.12->1.15,profoundly,1.12,FN,1.9->1.12,degree,[A* reports] [R that] [F would] [D profoundly] [P affect] [A [E public] [C opinion] ],[A*][R][F][D][P][A],A*DPA
44,1.68,2,D,1.67->1.68,dead ... earnest,1.67,FN,1.66->1.67,description,[D dead ... earnest] [U -] ... [P reckonings] ... [A* staff],[D][U][P][A*,DPA*
44,1.116,1,D,1.99->1.116,deeply,1.99,FN,1.1->1.99,degree,"[A IMPLICIT] [A [E such] [E serious] [U ,] [E practical] [C countries] [R as] [E [C England] [U ,] [C America] [U ,] [N and] [C Germany] ] ] [F were] [D deeply] [P concerned] [U .]",[A][A][F][D][P][U,AADP
45,1.114,1,D,1.111->1.114,could,1.111,FN,1.110->1.111,mood,[A* kraken] [R whose] [A tentacles] [D could] [P entwine] [A [E a] [E [E 500] [U -] [C ton] ] [C craft] ],[A*][R][A][D][P][A],A*ADPA
47,1.13,3,D,1.12->1.13,[R With] [E inexhaustible] [C zest],1.12,FN,1.1->1.12,description,"[D [R With] [E inexhaustible] [C zest] ] [U ,] [A [E the] [E popular] [C press] ] [D took] [P potshots] [A [C [R at] [E feature] [C articles] [E [R from] [C the Geographic Institute] [R of] [E Brazil] ] [U ,] [E [R* from] [C the Royal Academy of Science] [R in] [E Berlin] ] [U ,] [E the British Association] [U ,] [E [R* from] [C the Smithsonian Institution] [R in] [E Washington ... D.C] [U ,] ] ] [U .] [U ,] [C [R at] [C discussions] [E [R in] [C The Indian Archipelago] ] [U ,] [E [R in] [C Cosmos] [E [A* Cosmos] [P published] [A [R by] [C Father Moigno] ] ] ] [U ,] [E [R in] [C Petermann 's Mittheilungen,2] ] ] [N and] [C [R at] [E scientific] [C chronicles] [E [R in] [E the] [E great] [E [C French] [N and] [C foreign] ] [C newspapers] ] ] ]",[D][U][A][D][P][A],DADPA
47,1.22,1,D,1.12->1.22,took,1.12,FN,1.1->1.12,support,"[D [R With] [E inexhaustible] [C zest] ] [U ,] [A [E the] [E popular] [C press] ] [D took] [P potshots] [A [C [R at] [E feature] [C articles] [E [R from] [C the Geographic Institute] [R of] [E Brazil] ] [U ,] [E [R* from] [C the Royal Academy of Science] [R in] [E Berlin] ] [U ,] [E the British Association] [U ,] [E [R* from] [C the Smithsonian Institution] [R in] [E Washington ... D.C] [U ,] ] ] [U .] [U ,] [C [R at] [C discussions] [E [R in] [C The Indian Archipelago] ] [U ,] [E [R in] [C Cosmos] [E [A* Cosmos] [P published] [A [R by] [C Father Moigno] ] ] ] [U ,] [E [R in] [C Petermann 's Mittheilungen,2] ] ] [N and] [C [R at] [E scientific] [C chronicles] [E [R in] [E the] [E great] [E [C French] [N and] [C foreign] ] [C newspapers] ] ] ]",[D][U][A][D][P][A],DADPA
47,1.106,1,D,1.103->1.106,n't,1.103,FN,1.93->1.103,negation,[A nature] [F does] [D n't] [P make leaps],[A][F][D][P],ADP
47,1.124,2,D,1.122->1.124,[R in] [C essence],1.122,FN,1.1->1.122,description,"[A* writers] [P maintaining] [D [R in] [C essence] ] [A [R that] [U ""] [A nature] [F does] [D n't] [P make] [A lunatics] ]",[A*][P][D][A],A*PDA
47,1.132,1,D,1.127->1.132,n't,1.127,FN,1.122->1.127,negation,"[R that] [U ""] [A nature] [F does] [D n't] [P make] [A lunatics]",[R][U][A][F][D][P][A],ADPA
47,1.206,2,D,1.182->1.206,for good,1.182,FN,1.1->1.182,aspectual,"[A [R in] [E a] [E [E much] [U -] [C feared] ] [E satirical] [C journal] ] [U ,] [A [E an] [C article] [E [R by] [E its] [E most] [E popular] [C columnist] ] ] [P finished off] [A [E the] [C monster] ] [D for good]",[A][U][A][P][A][D],AAPAD
47,1.245,1,D,1.240->1.245,universal,1.24,FN,1.232->1.240,description,[A IMPLICIT] [R amid] [P [E a] ... [C burst of laughter] ] [D universal],[A][R][P][D],APD
48,1.28,1,D,1.25->1.28,n't,1.25,FN,1.1->1.25,negation,[A it] [F did] [D n't] [G seem] [S due] [A [A* it] [R for] [P resurrection] ],[A][F][D][G][S][A],ADSA
48,1.54,2,D,1.50->1.54,[E no] [C longer],1.5,FN,1.1->1.50,"negation,aspectual",[T now] [A it] [F was] [D [E no] [C longer] ] [S [E an] [C issue] ] [A [R of] [A [E a] [E scientific] [C problem] ] [F to] [F be] [P solved] ],[T][A][F][D][S][A],ADSA
48,1.93,2,D,1.88->1.93,[E entirely] [C new],1.88,FN,1.1->1.88,description,[A [E The] [C question] ] [P took an ... turn] [D [E entirely] [C new] ],[A][P][D],APD
48,1.101,1,D,1.97->1.101,again,1.97,FN,1.1->1.97,frequency,"[A [E The] [C monster] ] [D again] [P became] [A [C [C [E an] [C islet] ] [U ,] [C [E* an] [C rock] ] [U ,] [N or] [C [E* an] [C reef] ] ] [U ,] [R but] [E [E a] [E runaway] [C reef] [U ,] [E [A* reef] [S [C unfixed] [N and] [C elusive] [U .] ] ] ] ]",[A][D][P][A],ADPA
49,1.62,1,D,1.58->1.62,combined,1.58,FN,1.57->1.58,description,[R Under] [P [E the] ... [C efforts] ] [D combined] ... [A [C [R of] [C wind] ] [N and] [C [R* of] [E [E 400] [U -] [C horsepower] ] [C steam] ] ],[R][P][D][A],PDA
49,1.102,1,D,1.88->1.102,would,1.88,FN,1.1->1.88,mood,"[A [R Without] [E the] [E high] [C quality] [E [R of] [E its] [C hull] ] ] [U ,] [A [E the] [C Moravian] ] [D would] [G surely] [F have] [P split open] [A [R from] [E this] [C collision] ]",[A][U][A][D][G][F][P][A],AADPA
49,1.115,1,D,1.114->1.115,together,1.114,FN,1.111->1.114,description,[P* gone] [D together] [A [R with] [E those] [E 237] [C passengers] [E [A* passengers] [A it] [F was] [P bringing back] [A [R from] [C Canada] [U .] ] ] ],[][D][A],DA
50,1.19,1,D,1.16->1.19,beginning,1.16,FN,1.1->1.16,aspectual,[A day] [F was] [D beginning] [F to] [P break],[A][F][D][F][P],ADP
50,1.51,2,D,1.47->1.51,[E most] [C scrupulous],1.47,FN,1.41->1.47,description,[A* They] [R with] [P [E the] ... [C care] ] [D [E most] [C scrupulous] ],[A*][R][P][D],A*PD
50,1.85,1,D,1.76->1.85,violently,1.76,FN,1.1->1.76,description,[A [E those] [C sheets] [E [R of] [C water] ] ] [F had] [F been] [D violently] [P churned],[A][F][F][D][P],ADP
50,1.111,1,D,1.109->1.111,apparently,1.109,FN,1.101->1.109,mood,[A IMPLICIT] [A* [E the] [C Moravian] ] [D apparently] [P undamaged],[A][A*[E][C]][D][P],AA*DP
50,1.138,1,D,1.135->1.138,unable,1.135,FN,1.1->1.135,"negation,description",[A* [F Had] [A it] [P run afoul] [A [C [R of] [E an] [E underwater] [C rock] ] [N or] [C [R* of] [E the] [C wreckage] [E [R of] [E some] [E enormous] [E derelict] [C ship] ] ] ] ] [A They] [F were] [D unable] [F to] [P say],[A*[F][A][P][A]][A][F][D][F][P],A*APAADP
51,1.9,1,D,1.8->1.9,extremely,1.8,FN,1.4->1.8,degree,[A* occurrence] [D extremely] [S serious] [A [R in] [C itself] ],[A*][D][S][A],A*DSA
51,1.15,1,D,1.2->1.15,might,1.2,FN,1.1->1.2,mood,"[A IMPLICIT] [A [E This] [C occurrence] [U ,] [E [A* occurrence] [D extremely] [S serious] [A [R in] [C itself] ] ] ] [U ,] [D might] [G perhaps] [F have] [F been] [P forgotten] [A [R like] [E [E so] [C many] ] [C others] ]",[A][A][U][D][G][F][F][P][A],AADPA
51,1.36,1,D,1.28->1.36,n't,1.28,FN,1.1->1.28,negation,[T [E three] [C weeks] [R later] ] [A it] [F had] [D n't] [F been] [P reenacted] [A [R under] [E identical] [C conditions] ],[T][A][F][D][F][P][A],ADPA
51,1.63,1,D,1.59->1.63,new,1.59,FN,1.57->1.59,description,[R by] [P [E this] ... [C ramming] ] [D new],[R][P][D],PD
51,1.91,1,D,1.87->1.91,immense,1.87,FN,1.46->1.87,degree,[A IMPLICIT] [P [E an] ... [C uproar] [U .] ] [D immense],[A][P][D],APD
52,1.16,1,D,1.12->1.16,English,1.12,FN,1.10->1.12,description,"[A [E that] ... [C shipowner] ] [S famous] [D English] ... [U ,] [A* Cunard]",[A][S][D][U][A*,ASDA*
52,1.139,1,D,1.129->1.139,just,1.129,FN,1.124->1.129,aspectual,[A* Cunard Co] [R whose] [A [E [E mail] [U -] [C carrying] ] [C charter] ] [F had] [D just] [F been] [P renewed],[A*C][R][A][F][D][F][P],A*ADP
52,1.143,1,D,1.120->1.143,successively,1.12,FN,1.1->1.120,description,"[T [R In] [C 1853] ] [A [E the] [C Cunard Co] [U .] [U ,] [E [A* Cunard Co] [R whose] [A [E [E mail] [U -] [C carrying] ] [C charter] ] [F had] [D just] [F been] [P renewed] ] ] [U ,] [D successively] [P added] [A [R to] [E its] [C assets] ] [A [C [C [E the] [C Arabia] ] [U ,] [C [E the] [C Persia] ] [U ,] [C [E the] [C China] ] [U ,] [C [E the] [C Scotia] ] [U ,] [C [E the] [C Java] ] [U ,] [N and] [C [E the] [C Russia] ] ] [U ,] [E [S IMPLICIT] [A all] [A [C [C ships] [E [A* ships] [R of] [S [E top] [C speed] ] ] ] [N and] [U ,] [C [E [R after] [E the] [C Great Eastern] ] [U ,] [C [A* ships] [S [C* ships] [E the] [E biggest] ] [D ever] [A [A* ships] [F to] [P plow] [A [E the] [C seas] ] ] ] ] ] ] ]",[T][A][U][D][P][A][A],ADPAA
52,1.2,1,D,1.195->1.200,ever,1.195,FN,1.189->1.195,aspectual,[A* ships] [S [C* ships] [E the] [E biggest] ] [D ever] [A [A* ships] [F to] [P plow] [A [E the] [C seas] ] ],[A*][S][D][A],A*SDA
53,1.18,1,D,1.16->1.18,can,1.16,FN,1.1->1.16,mood,"[A everyone] [D can] [D fully] [P understand] [A [S [E the] [C importance] ] [A [R of] [E this] [E maritime] [E transportation] [C company] [U ,] [E [A* company] [S known] [A [E the] [C world] [R over] ] [A [A* company] [R for] [P [E its] ... [C management] ] [D shrewd] ] ] ] ]",[A][D][D][P][A],ADDPA
53,1.19,1,D,1.16->1.19,fully,1.16,FN,1.1->1.16,degree,"[A everyone] [D can] [D fully] [P understand] [A [S [E the] [C importance] ] [A [R of] [E this] [E maritime] [E transportation] [C company] [U ,] [E [A* company] [S known] [A [E the] [C world] [R over] ] [A [A* company] [R for] [P [E its] ... [C management] ] [D shrewd] ] ] ] ]",[A][D][D][P][A],ADDPA
53,1.42,1,D,1.38->1.42,shrewd,1.38,FN,1.32->1.38,description,[A* company] [R for] [P [E its] ... [C management] ] [D shrewd],[A*][R][P][D],A*PD
53,1.46,1,D,1.45->1.46,No,1.45,FN,1.1->1.45,negation,[D No] [A [E transoceanic] [E navigational] [C undertaking] ] [F has] [F been] [P conducted] [A [R with] [E more] [C ability] ],[D][A][F][F][P][A],DAPA
53,1.6,1,D,1.59->1.60,no,1.59,FN,1.1->1.59,negation,[D no] [A [E business] [C dealings] ] [F have] [F been] [P crowned] [A [R with] [E greater] [C success] ],[D][A][F][F][P][A],DAPA
53,1.82,1,D,1.72->1.82,made,1.72,FN,1.1->1.72,support,"[T [R In] [E twenty ... six] [U -] ... [C years] ] [A [E Cunard] [C ships] ] [F have] [D made] [D 2,000] [D Atlantic] [P crossings]",[T][A][F][D][D][D][P],ADDDP
53,1.83,1,D,1.72->1.83,"2,000",1.72,FN,1.1->1.72,quantity,"[T [R In] [E twenty ... six] [U -] ... [C years] ] [A [E Cunard] [C ships] ] [F have] [D made] [D 2,000] [D Atlantic] [P crossings]",[T][A][F][D][D][D][P],ADDDP
53,1.84,1,D,1.72->1.84,Atlantic,1.72,FN,1.1->1.72,description,"[T [R In] [E twenty ... six] [U -] ... [C years] ] [A [E Cunard] [C ships] ] [F have] [D made] [D 2,000] [D Atlantic] [P crossings]",[T][A][F][D][D][D][P],ADDDP
53,1.86,1,D,1.87->1.86,without,1.87,FN,1.1->1.87,negation,[D* without] [F so much as] [A [E a] [C voyage] ] [P canceled],[D*][F][A][P],D*AP
53,1.86,1,D,1.94->1.86,without,1.87,FN,1.1->1.87,negation,[D* without] [F so much as] [A [E a] [C voyage] ] [P canceled],[D*][F][A][P],D*AP
53,1.123,1,D,1.122->1.123,strong,1.122,FN,1.1->1.122,description,[D strong] [P competition] [A [R from] [C France] ],[D][P][A],DPA
53,1.131,1,D,1.129->1.131,still,1.129,FN,1.1->1.129,aspectual,[A passengers] [D still] [P choose] [A [E the] [E Cunard] [C line] [E [R in preference to] [E all] [C others] ] ],[A][D][P][A],ADPA
53,1.145,1,D,1.143->1.145,can,1.143,FN,1.1->1.143,mood,[A IMPLICIT] [A* [A passengers] [D still] [P choose] [A [E the] [E Cunard] [C line] [E [R in preference to] [E all] [C others] ] ] ] [D can] [F be] [P seen] [A [R in] [P [E a] ... [C survey] ] [T recent] ... [A [R of] [E official] [C documents] ] ],[A][A*[A][D][P][A]][D][F][P][A],AA*ADPADPA
54,1.74,3,D,1.64->1.74,[R with] [E perfect] [C steadiness],1.64,FN,1.1->1.64,description,[A [E Its] [E paddle] [C wheels] ] [F were] [P churning] [A [E the] [C sea] ] [D [R with] [E perfect] [C steadiness] ],[A][F][P][A][D],APAD
55,1.33,1,D,1.2->1.33,occurred,1.2,FN,1.1->1.2,support,"[T [R At] [C 4 ... 17] [U :] ... [E [R in] [E the] [C afternoon] ] ] [U ,] [A [R during] [P [E a] [E high] [C tea] ] [A [R for] [C passengers] [E [A* passengers] [P gathered] [A [R in] [E the] [E main] [C lounge] ] ] ] ] [U ,] [P [E a] [C collision] ] [D occurred]",[T][U][A][U][P][D],APD
55,1.37,1,D,1.35->1.37,scarcely,1.35,FN,1.1->1.35,degree,[A IMPLICIT] [A* collision] [D scarcely] [P noticeable] [D [F on] [E the] [C whole] ],[A][A*][D][P][D],AA*DPD
55,1.39,3,D,1.35->1.39,[F on] [E the] [C whole],1.35,FN,1.1->1.35,"mood,degree",[A IMPLICIT] [A* collision] [D scarcely] [P noticeable] [D [F on] [E the] [C whole] ],[A][A*][D][P][D],AA*DPD
56,1.7,1,D,1.2->1.7,n't,1.2,FN,1.1->1.2,negation,[A [E The] [C Scotia] ] [F had] [D n't] [P run afoul] [A [R of] [C something] ],[A][F][D][P][A],ADPA
56,1.51,1,D,1.46->1.51,would,1.46,FN,1.1->1.46,mood,[A nobody] [A [R on] [C board] ] [D would] [F have] [F been] [P disturbed] [A [R by] [C it] ],[A][A][D][F][F][P][A],AADPA
56,1.6,5,D,1.59->1.60,had it not been for,1.59,FN,1.1->1.59,"condition,negation","[D had it not been for] [P [E the] [C shouts] ] [A [R of] [C crewmen] [E [R in] [E the] [C hold] ] [U ,] [E [A* crewmen] [R who] [P climbed] [A [R on] [C deck] ] ] ]",[D][P][A],DPA
57,1.1,1,D,1.5->1.10,quite,1.5,FN,1.1->1.5,degree,[A [E the] [C passengers] ] [F were] [D quite] [P frightened],[A][F][D][P],ADP
57,1.18,1,D,1.14->1.18,hastened,1.14,FN,1.1->1.14,description,[A [E Captain] [C Anderson] ] [D hastened] [F to] [P reassure] [A them],[A][D][F][P][A],ADPA
57,1.27,1,D,1.23->1.27,could,1.23,FN,1.1->1.23,mood,"[G In fact] [U ,] [A there] [D could] [F be] [D no] [D immediate] [S danger]",[G][U][A][D][F][D][D][S],ADDDS
57,1.29,1,D,1.23->1.29,no,1.23,FN,1.1->1.23,negation,"[G In fact] [U ,] [A there] [D could] [F be] [D no] [D immediate] [S danger]",[G][U][A][D][F][D][D][S],ADDDS
57,1.3,1,D,1.23->1.30,immediate,1.23,FN,1.1->1.23,description,"[G In fact] [U ,] [A there] [D could] [F be] [D no] [D immediate] [S danger]",[G][U][A][D][F][D][D][S],ADDDS
57,1.48,1,D,1.44->1.48,could,1.44,FN,1.1->1.44,mood,[A [E the] [C Scotia] ] [D could] [P brave] [A [E any] [C leak] ] [D [R with] [C impunity] [U .] ],[A][D][P][A][D],ADPAD
57,1.53,3,D,1.44->1.53,[R with] [C impunity] [U .],1.44,FN,1.1->1.44,description,[A [E the] [C Scotia] ] [D could] [P brave] [A [E any] [C leak] ] [D [R with] [C impunity] [U .] ],[A][D][P][A][D],ADPAD
58,1.55,1,D,1.49->1.55,n't,1.49,FN,1.1->1.49,negation,[G Fortunately] [A [E this] [C compartment] ] [F did] [D n't] [S contain] [A [E the] [C boilers] ],[G][A][F][D][S][A],ADSA
58,1.66,1,D,1.62->1.66,would,1.62,FN,1.1->1.62,mood,[A [E their] [C furnaces] ] [D would] [F have] [F been] [D abruptly] [P extinguished] [U .],[A][D][F][F][D][P][U,ADDP
58,1.69,1,D,1.62->1.69,abruptly,1.62,FN,1.1->1.62,description,[A [E their] [C furnaces] ] [D would] [F have] [F been] [D abruptly] [P extinguished] [U .],[A][D][F][F][D][P][U,ADDP
59,1.61,1,D,1.55->1.61,could,1.55,FN,1.1->1.55,mood,[A IMPLICIT] [A [E Such] [E a] [C leak] ] [D could] [D not] [F be] [P patched],[A][A][D][D][F][P],AADDP
